#read	chrom	start	end	mismatches	matches	candidates
seq1	chr21	18560	18655	2	94	1
seq2	chr21	25961	26056	1	95	1
seq3	chr21	14035	14130	4	92	1
seq4	chr21	20899	20994	2	94	1
seq5	chr21	39255	39350	1	95	1
seq6	chr21	29944	30039	2	94	1
seq7	chr21	23641	23736	1	95	1
seq8	chr21	41775	41870	0	96	1
seq9	chr21	48327	48422	2	94	1
seq10	chr21	29171	29266	2	94	1
seq11	chr21	48303	48398	1	95	1
seq12	chr21	42795	42890	0	96	1
seq13	chr21	39841	39936	2	94	1
seq14	chr21	33314	33409	2	94	1
seq15	chr21	34319	34414	1	95	1
seq16	chr21	22027	22122	2	94	1
seq17	chr21	7374	7469	1	95	1
seq18	chr21	34227	34322	1	95	1
seq19	chr21	8573	8668	1	95	1
seq20	chr21	2121	2216	1	95	15
seq21	chr21	34986	35081	2	94	1
seq22	chr21	48920	49015	0	96	3
seq23	chr21	5535	5630	1	95	2
seq24	chr21	2122	2217	1	95	15
seq25	chr21	19599	19694	2	94	1
seq26	chr21	27821	27916	0	96	2
seq27	chr21	13012	13107	0	96	1
seq28	chr21	39247	39342	2	94	1
seq29	chr21	3168	3263	0	96	1
seq30	chr21	15439	15534	0	96	2
seq31	chr21	43353	43448	0	96	1
seq32	chr21	4619	4714	0	96	1
seq33	chr21	28129	28224	0	96	2
seq34	chr21	22851	22946	0	96	1
seq35	chr21	18321	18416	1	95	1
seq36	chr21	6925	7020	0	96	1
seq37	chr21	10717	10812	1	95	1
seq38	chr21	48615	48710	0	96	1
seq39	chr21	28825	28920	0	96	1
seq40	chr21	28894	28989	3	93	1
seq41	chr21	7852	7947	2	94	1
seq42	chr21	2119	2214	2	94	15
seq43	chr21	15776	15871	1	95	2
seq44	chr21	16965	17060	0	96	1
seq45	chr21	33405	33500	1	95	1
seq46	chr21	5627	5722	0	96	2
seq47	chr21	4066	4161	0	96	3
seq48	chr21	35491	35586	0	96	1
seq49	chr21	42629	42724	1	95	3
seq50	chr21	35623	35718	0	96	1
seq51	chr21	26575	26670	0	96	1
seq52	chr21	11718	11813	0	96	1
seq53	chr21	26353	26448	1	95	1
seq54	chr21	5439	5534	0	96	2
seq55	chr21	23499	23594	1	95	1
seq56	chr21	13169	13264	0	96	1
seq57	chr21	5094	5189	2	94	2
seq58	chr21	19841	19936	0	96	1
seq59	chr21	11649	11744	0	96	1
seq60	chr21	27547	27642	0	96	2
seq61	chr21	26086	26181	0	96	1
seq62	chr21	47410	47505	3	93	1
seq63	chr21	12199	12294	2	94	1
seq64	chr21	13787	13882	2	94	1
seq65	chr21	15110	15205	0	96	1
seq66	chr21	36608	36703	0	96	1
seq67	chr21	2123	2218	4	92	15
seq68	chr21	26834	26929	1	95	1
seq69	chr21	49307	49402	3	93	1
seq70	chr21	47715	47810	1	95	1
seq71	chr21	49818	49913	1	95	1
seq72	chr21	45422	45517	1	95	2
seq73	chr21	35384	35479	5	91	1
seq74	chr21	49103	49198	1	95	1
seq75	chr21	37401	37496	0	96	1
seq76	chr21	45210	45305	2	94	1
seq77	chr21	460	555	2	94	15
seq78	chr21	32698	32793	2	94	1
seq79	chr21	18461	18556	0	96	1
seq80	chr21	44139	44234	0	96	1
seq81	chr21	43772	43867	0	96	3
seq82	chr21	21904	21999	0	96	1
seq83	chr21	30458	30553	0	96	1
seq84	chr21	41075	41170	2	94	1
seq85	chr21	15356	15451	1	95	1
seq86	chr21	16513	16608	2	94	1
seq87	chr21	37274	37369	2	94	1
seq88	chr21	44607	44702	1	95	1
seq89	chr21	42096	42191	1	95	1
seq90	chr21	12403	12498	0	96	1
seq91	chr21	29480	29575	2	94	1
seq92	chr21	49833	49928	0	96	1
seq93	chr21	19801	19896	0	96	1
seq94	chr21	44501	44596	0	96	1
seq95	chr21	2119	2214	1	95	15
seq96	chr21	20439	20534	0	96	1
seq97	chr21	23681	23776	0	96	1
seq98	chr21	33949	34044	1	95	1
seq99	chr21	16685	16780	0	96	1
seq100	chr21	25457	25552	2	94	1
